ID_REF,GSM3586432,GSM3586433,GSM3586434,GSM3586435
MYBPH,3.007575253,2.880332077,2.965356578,2.936025701
MYOG,1.706885603,1.870814053,2.296642246,1.719429241
4933406M09RIK,2.375232671,2.504418061,2.244057971,2.600582751
CYB5R1,3.179426382,3.71921164,3.867360852,4.125523641
ADIPOR1,5.42757653,5.743759994,4.923085862,6.769141345
KLHL12,2.234339144,2.297158507,2.026973124,2.269790459
RABIF,5.291648913,5.568611603,5.395505867,5.575836706
KDM5B,5.09621313,4.873525544,4.173571868,5.265649269
SYT2,2.868752807,2.498604086,2.69241057,2.487985934
UBE2T,2.184962037,2.719409409,2.497402212,2.509372654
PTPRV,2.862926218,2.530299149,2.916892055,2.769617297
PTPN7,3.854370179,4.29613003,3.667291987,4.924177095
ARL8A,7.020710686,7.440291292,6.057329067,7.227131467
LMOD1,6.268248758,5.233542493,5.06424505,3.980986798
NAV1,2.451723235,3.039360949,2.15706034,2.905021493
CSRP1,8.276277222,7.840259458,6.367189882,7.321643139
PHLDA3,4.874069469,6.354516927,5.515266145,5.477949441
TNNI1,2.599449773,2.26971308,2.613908798,2.459828057
LAD1,3.181745913,3.059281156,3.071595198,2.700269653
TNNT2,5.331156742,3.77388517,4.577936285,3.857255671
TMEM9,4.214374313,4.089104411,3.738168088,4.26465998
CACNA1S,2.567445103,2.562055816,2.892112396,2.650944445
KIF21B,3.005732737,3.392801855,3.554727568,4.262448258
DDX59,3.128718459,3.256857828,3.620424806,3.110314631
KIF14,2.188005933,3.522030201,2.767341448,3.296091772
ZFP281,6.182984479,5.906027381,6.16954266,6.326395888
HMBS,3.906348207,4.433669032,3.077416264,4.345261088
A130050O07RIK,2.373013574,2.707741119,2.774402515,2.256507929
MIR181A-1,1.357973755,1.432176035,1.56165072,1.108453608
MIR181B-1,1.748781659,1.357991147,1.525029416,1.440908488
ATP6V1G3,2.387344769,2.012108295,2.515637641,2.360925585
DENND1B,3.760853352,3.774351364,4.249663985,4.313088677
ZBTB41,4.137087768,4.45212476,4.186757349,4.503928283
ASPM,2.247148348,4.122080531,2.779681907,3.415037135
F13B,1.262694595,1.155985582,1.498882917,1.360337036
KCNT2,4.909212429,3.214038168,4.449296412,3.076379093
B3GALT2,6.597066007,6.468796311,7.828154067,5.507883274
GLRX2,5.01257576,4.902807622,4.911463424,5.009486954
UCHL5,6.14993657,6.219839355,6.321606414,6.574185803
GM5263,3.206289086,3.280013614,3.553023517,3.482301255
